epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6801.32,0.64013,0.42319,1.62857,0.621,0.43805,0.4714,0.2859,1.57145,1.59553,2.98242,0.000614,0.000614,0.000614
72,6896.58,0.62703,0.41393,1.62252,0.55287,0.4646,0.47134,0.27158,1.61725,1.78132,3.10318,0.0005942,0.0005942,0.0005942
73,6992.2,0.62765,0.41638,1.65527,0.57803,0.53097,0.50488,0.28878,1.54971,1.59418,3.17047,0.0005744,0.0005744,0.0005744
74,7087.44,0.61739,0.40798,1.67308,0.55229,0.57965,0.53176,0.3159,1.52827,1.47052,2.86956,0.0005546,0.0005546,0.0005546
75,7182.16,0.62777,0.40831,1.66149,0.54423,0.52837,0.51628,0.30669,1.56766,1.51572,2.92085,0.0005348,0.0005348,0.0005348
76,7276.74,0.6258,0.40791,1.63879,0.5712,0.45975,0.47175,0.28186,1.60486,1.58217,3.11127,0.000515,0.000515,0.000515
77,7371.51,0.61478,0.40303,1.60749,0.60581,0.44248,0.47399,0.27335,1.62955,1.79419,3.16705,0.0004952,0.0004952,0.0004952
78,7466.71,0.60401,0.4047,1.62126,0.58726,0.47788,0.47008,0.26461,1.68661,1.63549,3.13657,0.0004754,0.0004754,0.0004754
79,7562.22,0.61794,0.41457,1.64816,0.58026,0.47788,0.47875,0.30014,1.61445,1.8245,3.19267,0.0004556,0.0004556,0.0004556
80,7657.65,0.59981,0.39417,1.61072,0.56354,0.47788,0.47792,0.27343,1.55651,1.66307,3.18247,0.0004358,0.0004358,0.0004358
81,7753.88,0.60219,0.39933,1.58703,0.53506,0.4823,0.47281,0.27352,1.60298,1.68542,3.06416,0.000416,0.000416,0.000416
82,7849.78,0.58453,0.39515,1.62404,0.59688,0.45575,0.46917,0.28132,1.56247,1.71071,3.02143,0.0003962,0.0003962,0.0003962
83,7944.64,0.59542,0.39214,1.61736,0.56736,0.50442,0.47677,0.2953,1.51254,1.63834,2.94698,0.0003764,0.0003764,0.0003764
84,8039.47,0.57945,0.38167,1.60768,0.58633,0.45575,0.47831,0.2812,1.58838,1.71436,3.0649,0.0003566,0.0003566,0.0003566
